Time,Pitch,Roll
27.050,10.31,7.85
27.100,10.29,7.45
27.150,10.07,6.71
27.200,10.18,6.13
27.250,10.39,5.48
27.300,10.69,4.69
27.350,10.56,4.17
27.400,10.14,3.76
27.450,9.65,3.47
27.500,9.47,3.05
27.550,9.15,3.13
27.600,8.90,3.04
27.650,9.16,2.52
27.700,9.03,2.17
27.750,8.89,1.98
27.800,8.68,1.92
27.850,8.51,1.38
27.900,8.35,1.08
27.950,8.26,0.79
28.000,8.14,0.67
28.050,8.05,0.57
28.100,7.94,0.43
28.150,7.83,0.29
28.200,7.76,0.22
28.250,7.67,0.12
28.350,7.64,0.05
28.400,7.56,-0.03
28.450,7.49,-0.15
28.500,7.40,-0.21
28.550,7.35,-0.27
28.600,7.28,-0.36
28.650,7.21,-0.46
28.700,7.14,-0.55
28.750,7.07,-0.62
28.800,7.02,-0.69
28.850,6.98,-0.78
28.900,6.93,-0.84
28.950,6.89,-0.92
29.000,6.82,-0.97
29.050,6.77,-1.01
29.100,6.74,-1.08
29.150,6.70,-1.14
29.200,6.66,-1.18
29.250,6.62,-1.21
29.300,6.58,-1.25
29.350,6.55,-1.28
29.400,6.50,-1.32
29.450,6.50,-1.35
29.500,6.48,-1.38
29.550,6.46,-1.41
29.600,6.42,-1.44
29.650,6.40,-1.45
29.700,6.37,-1.45
29.810,6.54,5.50
29.860,6.90,4.72
29.910,7.00,1.09
29.960,6.70,1.41
30.010,6.65,1.22
30.060,6.63,1.15
30.110,6.60,1.08
30.160,6.58,0.99
30.210,6.55,0.85
30.260,6.54,0.73
30.310,6.53,0.62
30.360,6.53,0.50
30.410,6.54,0.41
30.460,6.54,0.31
30.510,6.52,0.19
30.560,6.51,0.11
30.610,6.51,0.05
30.660,6.50,-0.01
30.710,6.49,-0.08
30.760,6.47,-0.12
30.810,6.47,-0.16
30.860,6.47,-0.20
30.910,6.47,-0.25
30.960,6.46,-0.28
31.010,6.47,-0.31
31.060,6.47,-0.36
31.110,6.46,-0.39
31.160,6.45,-0.45
31.210,6.46,-0.49
31.330,6.56,-0.54
31.380,6.54,-0.59
31.430,6.52,-0.62
31.480,6.49,-0.63
31.530,6.47,-0.66
31.580,6.47,-0.69
31.630,6.45,-0.73
31.680,6.44,-0.76
31.730,6.43,-0.78
31.780,6.41,-0.80
31.830,6.40,-0.82
31.880,6.41,-0.86
31.930,6.43,-0.91
31.980,6.44,-0.95
32.030,6.41,-0.97
32.080,6.39,-0.98
32.130,6.41,-1.00
32.180,6.39,-0.99
32.230,6.39,-0.99
32.280,6.37,-1.02
32.330,6.38,-1.02
32.380,6.37,-1.06
32.430,6.38,-1.05
32.480,6.37,-1.04
32.530,6.37,-1.07
32.580,6.35,-1.07
32.630,6.34,-1.11
Time,Pitch,Roll
0.043,0.27,-0.08
0.090,0.57,-0.13
0.140,0.86,-0.19
0.190,1.14,-0.24
0.240,1.43,-0.31
0.290,1.67,-0.36
0.340,1.90,-0.39
0.390,2.11,-0.44
0.440,2.33,-0.49
0.490,2.54,-0.54
0.540,2.73,-0.56
0.590,2.92,-0.60
0.640,3.08,-0.62
0.690,3.22,-0.65
0.740,3.36,-0.69
0.790,3.53,-0.71
0.840,3.66,-0.73
0.890,3.79,-0.73
0.940,3.90,-0.76
0.990,4.03,-0.80
1.040,4.16,-0.80
1.090,4.27,-0.82
1.140,4.38,-0.83
